Date,Close
12/22/2016,391.16
12/23/2016,389.77
12/27/2016,388.75
12/28/2016,385.37
12/29/2016,376.61
12/30/2016,377.32
1/3/2017,374.77
1/4/2017,381.86
1/5/2017,391.89
1/6/2017,398.44
1/9/2017,395.06
1/10/2017,414.48
1/11/2017,413.93
1/12/2017,409.35
1/13/2017,410.75
1/17/2017,405.87
1/18/2017,409.74
1/19/2017,408.87
1/20/2017,405.2
1/23/2017,407.72
1/24/2017,417.88
1/25/2017,419.54
1/26/2017,418.73
1/27/2017,416.6
1/30/2017,417.95
1/31/2017,421.44
2/1/2017,420.23
2/2/2017,423.3
2/3/2017,404.08
2/6/2017,395.59
2/7/2017,398.64
2/8/2017,402.94
2/9/2017,415.31
2/10/2017,413.36
2/13/2017,414.14
2/14/2017,419.54
2/15/2017,423.34
2/16/2017,424.76
2/17/2017,427.61
2/21/2017,432.36
2/22/2017,427.61
2/23/2017,422.38
2/24/2017,420.9
2/27/2017,421.67
2/28/2017,418.74
3/1/2017,419.15
3/2/2017,416.29
3/3/2017,416.09
3/6/2017,411.68
3/7/2017,404.9
3/8/2017,406.5
3/9/2017,410.48
3/10/2017,407.75
3/13/2017,405.87
3/14/2017,403.1
3/15/2017,400.96
3/16/2017,400.95
3/17/2017,402.58
3/20/2017,396.37
3/21/2017,407.52
3/22/2017,416.31
3/23/2017,414.88
3/24/2017,414.02
3/27/2017,414.96
3/28/2017,426.23
3/29/2017,434.34
3/30/2017,443.92
3/31/2017,445.52
4/3/2017,452.75
4/4/2017,449.41
4/5/2017,452.44
4/6/2017,450.29
4/7/2017,447.34
4/10/2017,454.28
4/11/2017,453
4/12/2017,458.35
4/13/2017,463.62
4/17/2017,469.89
4/18/2017,468.51
4/19/2017,476.96
4/20/2017,478.39
4/21/2017,479.09
4/24/2017,468.79
4/25/2017,471.76
4/26/2017,482.99
4/27/2017,482
4/28/2017,474.47
5/1/2017,477.58
5/2/2017,486.86
5/3/2017,479.97
5/4/2017,472.4
5/5/2017,475.3
5/8/2017,471.15
5/9/2017,479.13
5/10/2017,486.42
5/11/2017,488.52
5/12/2017,489.33
5/15/2017,495.31
5/16/2017,496.14
5/17/2017,479.83
5/18/2017,484.74
5/19/2017,484.99
5/22/2017,482.79
5/23/2017,475
5/24/2017,478.8
5/25/2017,481.39
5/26/2017,480.15
5/30/2017,475.7
5/31/2017,477.35
6/1/2017,483.6
6/2/2017,478.07
6/5/2017,472.6
6/6/2017,470.48
6/7/2017,462.23
6/8/2017,459.69
6/9/2017,460.85
6/12/2017,461.55
6/13/2017,464.22
6/14/2017,459.69
6/15/2017,455.67
6/16/2017,451.09
6/19/2017,458.91
6/20/2017,425.6
6/21/2017,417.6
6/22/2017,420.92
6/23/2017,415.28
6/26/2017,413.99
6/27/2017,413.98
6/28/2017,416.87
6/29/2017,419.18
6/30/2017,416.1
7/3/2017,417.33
7/5/2017,413.25
7/6/2017,412.76
7/7/2017,413.89
7/10/2017,407.55
7/11/2017,396.08
7/12/2017,396.95
7/13/2017,400.04
7/14/2017,395.83
7/17/2017,392
7/18/2017,374.98
7/19/2017,372.83
